Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
jewel-bubbles,Jewel Bubbles,"<p>A one-of-a-kind resin pendant packed with glossy jewel-toned bubbles — sapphire, teal, emerald, lime, purple and ruby — like a little stained-glass mosaic. It hangs on an adjustable black cord.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,,,,,WC-3500,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/jewel-bubbles-1.jpeg,1,Jewel Bubbles,draft
jewel-bubbles,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/jewel-bubbles-2.jpeg,2,Jewel Bubbles,
jewel-bubbles,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/jewel-bubbles-3.jpeg,3,Jewel Bubbles,
jewel-bubbles,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/jewel-bubbles-4.jpeg,4,Jewel Bubbles,
jewel-bubbles,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/jewel-bubbles-5.jpeg,5,Jewel Bubbles,
northern-lights,Northern Lights,"<p>A one-of-a-kind resin pendant with iridescent blue-green-violet ribbons shimmering over a deep black base, like the northern lights. It hangs on an adjustable black cord.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,,,,,WC-3505,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/northern-lights-1.jpeg,1,Northern Lights,draft
northern-lights,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/northern-lights-2.jpeg,2,Northern Lights,
northern-lights,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/northern-lights-3.jpeg,3,Northern Lights,
northern-lights,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/northern-lights-4.jpeg,4,Northern Lights,
cosmic-swirl,Cosmic Swirl,"<p>A one-of-a-kind resin pendant with an iridescent blue-violet spiral swirling through a deep black base. It hangs on an adjustable black cord.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,,,,,WC-3509,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/cosmic-swirl-1.jpeg,1,Cosmic Swirl,draft
cosmic-swirl,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-swirl-2.jpeg,2,Cosmic Swirl,
cosmic-swirl,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-swirl-3.jpeg,3,Cosmic Swirl,
cosmic-swirl,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-swirl-4.jpeg,4,Cosmic Swirl,
blooming-heart,Blooming Heart,"<p>A one-of-a-kind heart-shaped resin pendant with soft watercolour swirls of pink, gold, green and cream. It hangs on an adjustable black cord.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,,,,,WC-3513,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/blooming-heart-1.jpeg,1,Blooming Heart,draft
blooming-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blooming-heart-2.jpeg,2,Blooming Heart,
blooming-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blooming-heart-3.jpeg,3,Blooming Heart,
blooming-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blooming-heart-4.jpeg,4,Blooming Heart,
galaxy-heart,Galaxy Heart,"<p>A one-of-a-kind puffy-heart resin pendant full of rainbow-opal shimmer over a deep galaxy-black base. It hangs on an adjustable black cord.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,,,,,WC-3517,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/galaxy-heart-1.jpeg,1,Galaxy Heart,draft
galaxy-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/galaxy-heart-2.jpeg,2,Galaxy Heart,
galaxy-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/galaxy-heart-3.jpeg,3,Galaxy Heart,
stardust-heart,Stardust Heart,"<p>A one-of-a-kind puffy-heart resin pendant sparkling with violet and gold stardust over a deep black base. It hangs on an adjustable black cord.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,,,,,WC-3521,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/stardust-heart-1.jpeg,1,Stardust Heart,draft
stardust-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/stardust-heart-2.jpeg,2,Stardust Heart,
stardust-heart,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/stardust-heart-3.jpeg,3,Stardust Heart,
