Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
copper-carnation,Copper Carnation — Set of 3,"<p>A set of 3 handmade resin coasters with a coppery carnation bloom on a bright green base.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3537,0,shopify,1,deny,manual,45.00,TRUE,TRUE,https://werecured.ca/images/copper-carnation-1.jpeg,1,Copper Carnation — Set of 3,draft
copper-carnation,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-carnation-2.jpeg,2,Copper Carnation — Set of 3 view 2,
copper-carnation,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-carnation-3.jpeg,3,Copper Carnation — Set of 3 view 3,
copper-carnation,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-carnation-4.jpeg,4,Copper Carnation — Set of 3 view 4,
copper-carnation,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-carnation-5.jpeg,5,Copper Carnation — Set of 3 view 5,
copper-carnation,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-carnation-6.jpeg,6,Copper Carnation — Set of 3 view 6,
copper-carnation,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/copper-carnation-7.jpeg,7,Copper Carnation — Set of 3 view 7,
gumball-galaxy,Gumball Galaxy — Set of 4,"<p>A set of 4 handmade resin coasters scattered with jewel-toned glass bubbles.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3535,0,shopify,1,deny,manual,60.00,TRUE,TRUE,https://werecured.ca/images/gumball-galaxy-1.jpeg,1,Gumball Galaxy — Set of 4,draft
gumball-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gumball-galaxy-2.jpeg,2,Gumball Galaxy — Set of 4 view 2,
gumball-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gumball-galaxy-3.jpeg,3,Gumball Galaxy — Set of 4 view 3,
gumball-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gumball-galaxy-4.jpeg,4,Gumball Galaxy — Set of 4 view 4,
gumball-galaxy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/gumball-galaxy-5.jpeg,5,Gumball Galaxy — Set of 4 view 5,
