Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
sunset-crystal,Sunset Crystal — Set of 4,"<p>A set of 4 handmade resin coasters with a hot-pink centre ringed by a glittering orange rock-candy crystal edge and a gold-fleck heart.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3735,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/sunset-crystal-1.jpeg,1,Sunset Crystal — Set of 4,draft
sunset-crystal,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sunset-crystal-2.jpeg,2,Sunset Crystal — Set of 4,
sunset-crystal,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sunset-crystal-3.jpeg,3,Sunset Crystal — Set of 4,
sunset-crystal,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sunset-crystal-4.jpeg,4,Sunset Crystal — Set of 4,
sunset-crystal,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sunset-crystal-5.jpeg,5,Sunset Crystal — Set of 4,
sunset-crystal,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sunset-crystal-6.jpeg,6,Sunset Crystal — Set of 4,
sunset-crystal,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sunset-crystal-7.jpeg,7,Sunset Crystal — Set of 4,
twilight-bloom,Twilight Bloom — Set of 4,"<p>A set of 4 handmade resin coasters with a shimmering blue-violet flower bursting across clear resin.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coasters,,FALSE,Title,Default Title,,,,,WC-3704,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/twilight-bloom-1.jpeg,1,Twilight Bloom — Set of 4,draft
twilight-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/twilight-bloom-2.jpeg,2,Twilight Bloom — Set of 4,
twilight-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/twilight-bloom-3.jpeg,3,Twilight Bloom — Set of 4,
twilight-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/twilight-bloom-4.jpeg,4,Twilight Bloom — Set of 4,
