Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
opal-sunset-tray,Opal Sunset Tray,"<p>A one-of-a-kind resin serving tray with a dreamy opal-marbled surface — soft swirls of powder blue, lilac, coral and peach laced with glimmering gold veins and a dusting of sparkle, framed by a hand-gilded scalloped edge. Fitted with attached brushed-gold bar handles for easy carrying.</p><p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Bowls and Platters,,FALSE,Title,Default Title,,,,,WC-3740,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/opal-sunset-tray-1.jpeg,1,Opal Sunset Tray,draft
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-2.jpeg,2,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-3.jpeg,3,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-4.jpeg,4,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-5.jpeg,5,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-6.jpeg,6,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-7.jpeg,7,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-8.jpeg,8,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-9.jpeg,9,Opal Sunset Tray,
opal-sunset-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/opal-sunset-tray-10.jpeg,10,Opal Sunset Tray,
