Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
coral-branch-pendant,Coral Branch Pendant,"<p>Teal and red branch pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1875,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1875.jpg,1,Teal and red branch pendant,draft
coral-branch-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2067.jpeg,2,Coral branch pendant view 2,
coral-branch-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2217.jpeg,3,Coral branch pendant view 3,
coral-branch-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2218.jpeg,4,Coral branch pendant view 4,
coral-branch-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2219.jpeg,5,Coral branch pendant view 5,
ethereal-being-pendant,Ethereal Being Pendant,"<p>Dark green iridescent pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1876,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1876.jpg,1,Dark green iridescent pendant,draft
ethereal-being-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2068.jpeg,2,Ethereal being pendant view 2,
ethereal-being-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2224.jpeg,3,Ethereal being pendant view 3,
teal-moon-pendant,Teal Moon Pendant,"<p>Teal glitter circle pendant.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Pendant,"Jewelry, Pendants",FALSE,Title,Default Title,WC-1877,0,shopify,1,deny,manual,,TRUE,TRUE,https://werecured.ca/images/IMG_1877.jpg,1,Teal glitter circle pendant,draft
teal-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2069.jpeg,2,Teal moon pendant view 2,
teal-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2070.jpeg,3,Teal moon pendant view 3,
teal-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2228.jpeg,4,Teal moon pendant view 4,
teal-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2229.jpeg,5,Teal moon pendant view 5,
teal-moon-pendant,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/IMG_2230.jpeg,6,Teal moon pendant view 6,
